meanTemp,humidity,windSpeed,ozone,temperatureHigh_-1,temperatureLow_-1,humidity_-1,pressure_-1,dewPoint_-1,windGust_-1,ozone_-1,humidity_-2,pressure_-2,dewPoint_-2,ozone_-2,temperatureHigh_-2,precipProbability_-2,cloudCover_-2,uvIndex_-2
18.36,0.76,1.59,235.4,26.08,13.269999999999998,0.6314285714285715,1014.6142857142858,10.585714285714287,5.312857142857143,244.92857142857147,0.6433333333333334,1014.6666666666665,10.578333333333337,243.85,25.540000000000006,0.08833333333333332,0.14833333333333334,6.333333333333332
18.545,0.71,3.11,239.8,22.03,14.69,0.76,1015.7,13.79,4.24,235.4,0.6433333333333334,1014.6666666666665,10.578333333333337,243.85,25.540000000000006,0.08833333333333332,0.14833333333333334,6.333333333333332
17.86,0.65,3.19,241.9,25.5,11.59,0.71,1016.0,13.32,7.03,239.8,0.76,1015.7,13.79,235.4,22.03,0.4,0.84,4.0
18.93,0.64,3.25,245.4,24.42,11.3,0.65,1016.7,9.63,6.58,241.9,0.71,1016.0,13.32,239.8,25.5,0.06,0.05,6.0
20.14,0.54,2.47,249.9,25.6,12.26,0.64,1014.6,9.86,6.71,245.4,0.65,1016.7,9.63,241.9,24.42,0.03,0.0,7.0
21.5,0.56,1.5,250.7,27.02,13.26,0.54,1012.1,7.24,5.43,249.9,0.64,1014.6,9.86,245.4,25.6,0.02,0.0,7.0
22.39,0.56,1.5,251.4,28.67,14.33,0.56,1012.9,9.63,3.0,250.7,0.54,1012.1,7.24,249.9,27.02,0.01,0.0,7.0
22.295,0.57,1.99,246.8,29.32,15.46,0.56,1014.3,10.63,4.2,251.4,0.56,1012.9,9.63,250.7,28.67,0.01,0.0,7.0
